Hero,Degree,Betweenness,Closeness,PageRank,Community,Role
REINHOLDT,0.002334630350194553,2.555611960034093e-08,0.36971531902179067,6.292888233986039e-05,21,Other
CITIZEN V III/DALLAS,0.03642023346303502,0.0006171507420639731,0.4559373744391325,0.0005690756576822951,0,Other
FIXER II/PAUL NORBER,0.04607003891050584,0.0010051331079753676,0.4775075058307596,0.0007228758038266015,0,Other
SHE-WOLF/PAULETTE BR,0.0010894941634241246,0.0,0.3709603685778067,3.9479732287394276e-05,0,Other
CITIZEN V II/HELMUT ,0.052451361867704285,0.001496435725946883,0.4807411909718257,0.0008136372991912723,0,Other
CITIZEN V/JOHN WATKI,0.006070038910505837,4.6575678096416055e-05,0.3905048852769124,0.00012067687371722342,0,Other
ZEMO/BARON HEINRICH ,0.009494163424124515,1.6816612053479425e-05,0.4068940534973611,0.000161086269053256,0,Other
"HALDEMAN, CALVIN",0.0010894941634241246,0.0,0.38588213009697186,3.9313959214911745e-05,21,Other
FLAG-SMASHER,0.009182879377431907,3.375256376403084e-05,0.43175094120932317,0.00017442960442551567,0,Other
"CUSHING, KATE",0.023813229571984437,0.0002925052792781849,0.4551254044746805,0.00039634451269393757,21,Other
SPIDER-WOMAN IV/CHAR,0.0034241245136186773,1.9178433112032998e-07,0.3709603685778067,9.124188446393613e-05,21,Other
HUNGER,0.002957198443579767,6.652757632443205e-07,0.3885338377533182,6.974123049998444e-05,21,Other
MARROW/SARAH ,0.03766536964980545,0.000815803819875018,0.4786164078219765,0.0005984509101442398,4,Other
CALLISTO,0.030350194552529186,0.0002657467878255303,0.44819715384184944,0.00046329007113888844,4,Other
SMASHER III,0.0014007782101167316,0.0,0.35259660198761394,4.720907551722941e-05,0,Other
"GLENN, HEATHER",0.011984435797665371,0.00025265672579564253,0.4401688203937695,0.00023551043383040785,21,Other
MINDWAVE,0.005914396887159534,7.213639991168875e-06,0.3796678409802451,0.00011400731851599424,0,Other
"GELLER, URI",0.000622568093385214,0.0,0.3483669808078279,3.405125751694596e-05,21,Other
"NELSON, CANDACE",0.011984435797665371,0.00010632819899726397,0.4266477748257472,0.00022872941492401845,0,Other
WIND-WARRIOR/PAMELA ,0.0032684824902723736,1.1060911559203961e-07,0.36141251431245414,6.968201377527817e-05,6,Other
EARTH-LORD/KYLE BROC,0.0032684824902723736,1.1060911559203961e-07,0.36141251431245414,6.968201377527817e-05,6,Other
TASKMASTER,0.019766536964980545,0.0007310199543747287,0.4482285974474227,0.00032808515856969344,0,Other
REDWING,0.04202334630350195,0.00047360286775071015,0.4843859308578896,0.0006365239311019703,0,Other
DIAMONDBACK II/RACHE,0.036731517509727626,0.0005014366013980777,0.44857476851896116,0.0005589040368992676,0,Other
"LUDLUM, ROSS",0.001245136186770428,0.0,0.001245136186770428,0.0001636951175885473,12,Other
OSWALD,0.001245136186770428,0.0,0.001245136186770428,0.0001636951175885473,12,Other
HOFFMAN,0.001245136186770428,0.0,0.001245136186770428,0.0001636951175885473,12,Other
"NILES, SEN. CATHERIN",0.0009338521400778211,0.0,0.0009961089494163425,0.0001276966779945512,12,Other
FAGIN,0.001245136186770428,0.0,0.001245136186770428,0.0001636951175885473,12,Other
"ASHER, MICHAEL",0.001245136186770428,0.0,0.001245136186770428,0.0001636951175885473,12,Other
ORWELL,0.001245136186770428,0.0,0.001245136186770428,0.0001636951175885473,12,Other
"ASHER, DONNA",0.0010894941634241246,0.0,0.001106787721573714,0.00014534642028190037,12,Other
"ASHER, CARL",0.0010894941634241246,0.0,0.001106787721573714,0.00014534642028190037,12,Other
"SHARPE, ROSALINDE",0.016964980544747082,0.00044932746269765435,0.43889884097104925,0.0003327707050624184,0,Other
MASTERMIND IV/MARTIN,0.002334630350194553,2.394562467836827e-07,0.3835885223352284,5.573330085841035e-05,4,Other
"KNIGHT, MISTY",0.05182879377431907,0.0025837915459632345,0.48730458607395044,0.0008531673274934355,2,Other
